id,category,construct,definition_evidence,value_type,city,right,year,thesis_location,evidence_type,notes
OUTCOME_TUR_EDU_01,Outcome,Targeted programme reach (fragility example),"Spazio Non Solo Mamme provided childcare for young migrant mothers in adult education, serving around 50 mothers per year, before its interruption in 2023 due to vandalism",quantitative + qualitative (fragility),Turin,education,2023 (interruption),"Ch III, p.98",documentary (municipal),Illustrates dependence on targeted funding / vulnerability to disruption -- relevant to Policy Durability indicator (spec Sec.6)
OUTCOME_TUR_EDU_02,Outcome,Disability-service reach,Municipal monitoring data indicate services for children and adolescents with disabilities in Turin currently reach 1538 users,quantitative,Turin,education,n/d (current as of monitoring data cited),"Ch III, p.98",official administrative data,
TYPOLOGY_TUR_EDU_01,Cross-cutting/Typology validation,Empirical instance of the Commitment-Impact Matrix,"The thesis explicitly applies its own commitment-impact logic: 'In a Commitment-Impact Matrix, Turin would rank high in commitment but only moderate-to-high in impact' for education, reflecting the tension between ambition and constraint",qualitative-ordinal (thesis's own worked example),Turin,education,n/d,"Ch III, p.99",thesis argument,"This is the ONE place the thesis itself applies a commitment/impact rating in matrix terms -- direct textual basis for spec Sec.5.3/5.4/7's proposed indices. Confirms the rating is ordinal/qualitative (high, moderate-to-high), not a numeric score in the source"
CONCEPT_BELOW_01,Cross-cutting/Core concept (not an indicator),Constitutionalism from below,"Constitutional practice is shaped not only by courts and legislatures but also, indirectly, by municipalities NGOs and grassroots movements (building on Anderson's concept, extended by the author to municipalities as subnational institutions acting 'from below' relative to national constitutions)",conceptual framework element,All three cities,cross-cutting,n/d,"Ch VI, Part I.2, p.242-243",thesis argument (building on Anderson; Hirschl and Arban),"Explicitly qualified by the thesis: local practices do not amend constitutions, they shape application/interpretation. Should NOT be operationalised as a numeric score without further methodological work -- flag as concept, not metric"
CONCEPT_LOCALTRAP_01,Cross-cutting/Core concept (caution flag),The 'local trap' (Purcell),"Decentralisation does not guarantee more democratic or inclusive outcomes -- especially where local elites capture policy levers or exclusionary ordinances persist; localisation can entrench inequality as easily as it can foster innovation",conceptual caution,All three cities,cross-cutting,n/d,"Ch VI, Part I.4, p.246",secondary literature (Purcell),"Important normative caveat for the whole project: high 'commitment' or 'capacity' scores must not be read as inherently progressive. Athens evictions and Barcelona empadronamiento access difficulties are given by the thesis as its own counter-examples (Ch VI p.242)"
CC_ITSP_02,Constitutional Capacity,Legal/constitutional recognition (comparative),"Italy: Art. 114 recognises municipalities as fundamental entities reinforced by subsidiarity (Art.118) and financial autonomy (Art.119). Spain: Arts. 140-142 guarantee self-government plus limited access to Tribunal Constitucional. Greece: Art.102 recognises municipalities but WITHOUT a general competence clause, confining them to delegated state functions",qualitative-ordinal (comparative ranking IT/ES > EL),All three cities,cross-cutting,n/d,"Ch II, 2.2.4, p.77",legal interpretation,Direct textual source for the MCC 'legal competence' sub-dimension scoring across all three cities
CC_FUNC_01,Constitutional Capacity,Functional competences (regulatory power),"Turin and Barcelona exercise authority over urban planning housing and social services though health and education remain largely beyond municipal control; Barcelona leverages its special Charter to push regulatory boundaries especially in housing/anti-discrimination. Athens mainly carries out basic administrative tasks (waste management minor welfare); the Kallikratis reform nominally expanded responsibilities but did not equip municipalities with real policymaking authority",qualitative-ordinal,All three cities,cross-cutting,n/d,"Ch II, 2.2.4, p.77-78",documentary,Direct source for the MCC 'regulatory power' sub-dimension
CC_FISC_01,Constitutional Capacity,Fiscal autonomy (comparative),"Turin and Barcelona finance more than half their budgets through local taxes (especially property levies) giving discretion despite dependence on transfers -- but Turin has chronic debt and Spanish fiscal rules prevent Barcelona reinvesting surpluses. Athens: budgets dominated by state transfers, surpluses must go to the Single Treasury Account, borrowing is monitored by the Observatory for Economic Autonomy, and Athens has one of the lowest shares of public expenditure among European municipalities, depending heavily on EU structural funds refugee-related instruments and philanthropy",quantitative-comparative (>50% local tax financing for Turin/Barcelona vs transfer-dominated Athens),All three cities,cross-cutting,n/d,"Ch II, 2.2.4, p.78",documentary,Direct source for MCC 'fiscal autonomy' sub-dimension. The >50%-local-tax figure is one of the few directly comparable quantitative benchmarks in the whole thesis
CC_COORD_01,Constitutional Capacity,Intergovernmental coordination,"Turin and Barcelona participate in institutionalised (if largely consultative) forums: Italy's Conferenza Stato-Citta and Spain's CNAL. Barcelona also uses litigation to assert prerogatives. Turin has experimented with collaborative governance (beni comuni regulation). Athens lacks equivalent institutional venues and relies on informal party networks and clientelist ties",qualitative-ordinal,All three cities,cross-cutting,n/d,"Ch II, 2.2.4, p.78",documentary,Direct source for MCC 'intergovernmental coordination' sub-dimension
CC_JUD_01,Constitutional Capacity,Conflict-resolution capacity (judicial),"Spain: conditional recourse to the Tribunal Constitucional plus ordinary courts. Italy: administrative courts (TAR) with regions escalating to the Corte Costituzionale. Greece: administrative supervision shifted from ex ante approval to ex post legality checks, but Athens lacks direct constitutional remedies and depends on the Council of State for narrow legality review only",qualitative-ordinal,All three cities,cross-cutting,n/d,"Ch II, 2.2.4, p.78",legal interpretation,Direct source for the MCC 'conflict-resolution capacity' sub-dimension -- confirms Greece has the narrowest judicial avenue of the three
CC_CIVSOC_01,Commitment,Civil society mobilisation as institutionalisation differentiator,"Turin institutionalised citizen involvement via the Regolamento dei Beni Comuni (legal force for co-governance). Barcelona blends grassroots movements (PAH) with institutionalised platforms (Decidim). Athens shows some of Europe's most dynamic grassroots responses (solidarity networks refugee squats mutual aid) but without formal channels, risking fragmented/precarious welfare provision and depoliticisation of structural inequalities",qualitative-ordinal (institutionalised BCN/TUR vs informal ATH),All three cities,cross-cutting,n/d,"Ch II, 2.2.4, p.78",documentary,Feeds the 'Participation' and 'Institutionalisation' sub-dimensions of MRCI (spec Sec.5.3)
OUTCOME_ATH_EDU_01,Outcome,Integration-class preparedness (quantitative),"A 2024 survey across 12 prefectures found only 98 of 510 integration classes for migrant/refugee children were adequately prepared, citing teacher shortages and lack of training",quantitative (98/510 = ~19%),Athens,education,2024,"Ch III, p.126",academic study (ESMED),Direct quantitative data point for education coverage/accessibility indicators
OUTCOME_ATH_EDU_02,Outcome,Disability school attendance (quantitative),Only about 15% of children with disabilities in Greece attend school due to inaccessible infrastructure lack of adapted services and insufficient resources despite a strong legal framework (Law 3699/2008),quantitative (15%),Athens,education,n/d,"Ch III, p.126 and 128",academic study/NGO report (ActionAid),Illustrates the thesis's recurring pattern: strong legal text + weak implementation. Relevant to the Inclusion Gap indicator (spec Sec.5.5)
OUTCOME_ATH_EDU_03,Outcome,'I Learn Better' inclusion programme reach,"Launched 2016, reached over 55 schools involving 1000 teachers and 5000 students",quantitative,Athens,education,2016-,"Ch III, p.125",documentary (municipal),
OUTCOME_ATH_EDU_04,Outcome,Roma educational attainment (severe disparity),Only 29% of Roma children complete primary education and just 2% finish secondary school in metropolitan Athens,quantitative (29% / 2%),Athens,education,n/d,"Ch III, p.125",academic study (Maloutas et al 2019),One of the starkest Inclusion Gap figures found in the thesis -- strong candidate for the Inclusion Gap indicator (spec Sec.5.5)
OUTCOME_ATH_EDU_05,Outcome,Private tutoring dependence / social tutoring response,"By 2014 nearly all final-year secondary students in Athens received private tutoring (frontistirio) outside school; in response a 2013 study found 31 social-tutoring initiatives in Greater Athens (20 municipal), and the Athens municipal Social Tutoring Centre (est. 2012) had supported ~1200 students by 2018",quantitative,Athens,education,2012-2018,"Ch III, p.125-126",documentary + academic study,Illustrates municipal compensation for a systemic accessibility failure (undermines free public education in principle)
IMPACT_TUR_HEA_01,Impact - Coverage/Accessibility,Health -- facilitative municipal role,"Turin's role in health coverage is facilitative rather than substantive: it helps residents navigate the national system (SSN) via offices like InformaStranieri e Nomadi and InforAnziani, while NGOs and faith-based associations (Sermig, GrIS Piemonte network) provide primary/mental-health care to undocumented migrants where legal coverage is absent",qualitative,Turin,health,n/d,"Ch IV, p.150-151",documentary,"ASSESSMENT section verbatim conclusion: 'Turin's contribution should be understood not as extensive in absolute terms, but as significant within the narrow scope of its competences'"
IMPACT_BCN_HEA_01,Impact - Coverage/Accessibility,Health -- integrated planning with structural limits,"Barcelona advances health through integrated planning (superblocks, Green Corridors) and targeted programmes (dental, mental health, youth) but is structurally circumscribed: CatSalut retains primary clinical responsibility, and the padron (municipal registration) is a prerequisite for healthcare access -- meaning municipal registration policy directly determines health-access inclusion",qualitative,Barcelona,health,n/d,"Ch IV, p.163-164",documentary,"Recent restrictions on padron registration flagged by the thesis as a new obstacle to inclusion -- direct link to the Administrative Conditionality indicator (spec Sec.5.5)"
OUTCOME_TUR_HOU_01,Outcome,Public housing stock share (ERP),"ERP (public housing) dwellings represent only 3.4% of Turin's total housing stock, with annual allocations far below demand; migrants are disproportionately represented among applicants but face indirect barriers",quantitative (3.4%),Turin,housing,n/d,"Ch V, p.202",official administrative data,Directly comparable to the Barcelona and Athens public-housing-stock figures -- core City x Right x Year data point
OUTCOME_BCN_HOU_01,Outcome,Public housing stock share,Public housing accounts for less than 2% of Barcelona's residential stock far below the European average while demand vastly outstrips supply,quantitative (<2%),Barcelona,housing,n/d,"Ch V, p.219",official administrative data,Confirms Barcelona has an even smaller public stock share than Turin despite stronger regulatory tools -- important nuance for any composite score (capacity/commitment does not equal stock coverage)
OUTCOME_BCN_HOU_02,Outcome,Rent burden and rent growth (quantitative),"Barcelona households devote on average 46% of income to rent; rents rose approximately 70% over the last decade, about four times faster than salaries; evictions continue in the thousands each year",quantitative (46% income-to-rent; +70% rent decade-on-decade vs wages),Barcelona,housing,~2014-2024,"Ch V, p.219",documentary + press source (Publico),"Strong quantitative accessibility/affordability figures -- direct input for the impact.csv 'accessibility' field and for outcome_variables"
COMMIT_BCN_HOU_02,Commitment,Regulatory innovation portfolio,"Barcelona's tanteig i retracte (right of first refusal), 30% inclusionary zoning requirement, and 2028 ban on new short-term rental licences illustrate creative extension of municipal competences -- but subject to judicial curtailment (STS 37/2022 struck down a proposed surcharge on vacant dwellings)",qualitative (high commitment, judicially constrained),Barcelona,housing,2022-2028,"Ch V, p.219",documentary + case law,Good evidence for both the MRCI 'innovation' sub-dimension and the Vertical Friction Index (spec Sec.6) via the STS 37/2022 litigation example
IMPACT_TUR_EDU_01,Impact - Inclusion,Education -- territorial inequality and demographic decline,"Central Turin districts have a dense network of services while peripheral areas (higher concentration of foreign/low-income families) show lower enrolment rates and more fragile infrastructure; demographic decline (shrinking school-age population) has caused school closures in some areas while demand remains unmet in others, requiring difficult efficiency/equity trade-offs",qualitative,Turin,education,n/d,"Ch III, p.100",thesis synthesis,"Closing synthesis paragraph for Turin-Education (no ASSESSMENT header, but structurally equivalent). Directly supports the Territorial Equity indicator (spec Sec.5.5)"
TYPOLOGY_TUR_EDU_02,Cross-cutting/Typology validation,Confirmed Commitment-Impact Matrix rating (verbatim),"'In a Commitment-Impact Matrix, Turin would rank high in commitment but only moderate-to-high in impact, reflecting the tension between ambition and constraint' -- attributed causes: national fiscal rules, demographic trends, structural inequalities outside municipal control",qualitative-ordinal (thesis's own explicit rating),Turin,education,n/d,"Ch III, p.100",thesis argument,Confirms and completes the citation already in the codebook (previously captured from a partial view) -- this is the thesis's single explicit application of its own commitment-impact matrix
IMPACT_BCN_EDU_01,Impact - Coverage/Commitment,Education -- expanded competences via Consorci d'Educacio,"Barcelona's scope extends beyond basic municipal duties (school planning, admissions, vocational training, adult education, cultural learning) via the hybrid Consorci d'Educacio de Barcelona. Flagship commitments: City Agreement for Education 2030, expansion of Escoles Bressol (early childhood), institutionalised participation via Consell d'Educacio Municipal and Consell d'Innovacio Pedagogica, and Barcelona Activa linking adult education/vocational training to employment",qualitative (high commitment, broad competence),Barcelona,education,2030 (strategy horizon),"Ch III, p.114",documentary,Assessment section (lowercase heading, same structural role as the other 6 ASSESSMENT blocks) -- strongest MRCI institutionalisation example found in the education chapter
IMPACT_BCN_EDU_02,Impact - Inclusion,Education -- territorial disparities despite broad competences,"Districts with high migrant/low-income populations face limited public provision and greater reliance on concertados (subsidised private schools), reinforcing ethnic and socio-economic segregation; housing insecurity further destabilises educational continuity",qualitative,Barcelona,education,n/d,"Ch III, p.114",thesis synthesis,"Explicitly echoes the Turin territorial-inequality finding (IMPACT_TUR_EDU_01) -- thesis notes this parallel itself, useful for cross-city Territorial Equity comparison"
IMPACT_ATH_HEA_01,Impact - Coverage/Accessibility,Health -- pragmatic adaptation with modest impact,"Athens' key strengths are pragmatic adaptation: municipal clinics, the 'I Care' programme, and KYADA social services extend primary care/social support to vulnerable groups; heatwave resilience measures link health with urban planning. Partnerships with solidarity clinics/NGOs were decisive for migrants, the homeless, and low-income residents especially during/after the financial crisis",qualitative (moderate/palliative impact),Athens,health,n/d,"Ch IV, p.178",documentary,"ASSESSMENT (lowercase heading) -- completes the set of six per-city-per-right synthesis blocks (all 9 combinations of 3 cities x 3 rights now captured except the chapter is 3 rights x 3 cities = 9 total; this is the 9th and final one)"
OUTCOME_ATH_HEA_01,Outcome,Health -- data and provision fragility,"The absence of Athens-specific disaggregated health data hampers evaluation and targeted planning; municipal initiatives often rely on voluntary labour, EU-funded projects, or donations, making provision precarious, including closures/evictions of key solidarity clinics",qualitative,Athens,health,n/d,"Ch IV, p.178",thesis synthesis,"Direct evidence for the External Dependency Index (spec Sec.6) and for a 'data availability' flag in the domain data-availability matrix (spec Sec.8)"
